pdes,full_name,neo,pha,H,diameter,albedo,e,a,q,i,om,w,moid,class
2020 ES,       (2020 ES),Y,N,23.46,,,0.1619,1.325,1.110,13.25,345.91,214.75,0.137,AMO
2020 ET,       (2020 ET),Y,N,25.80,,,0.5843,2.388,0.993,2.52,7.12,175.18,0.00323,APO
2020 EU,       (2020 EU),Y,N,24.10,,,0.3726,1.771,1.111,9.49,354.89,147.16,0.142,AMO
2020 EV,       (2020 EV),Y,N,22.40,,,0.6431,1.499,0.535,39.27,357.96,65.61,0.121,APO
2020 EX,       (2020 EX),Y,N,22.00,,,0.5341,1.069,0.498,10.53,13.20,29.00,0.104,APO
2020 FB,       (2020 FB),Y,N,25.50,,,0.3219,1.491,1.011,3.11,167.92,23.57,0.0221,APO
2020 FC,       (2020 FC),Y,N,23.20,,,0.6494,1.622,0.569,8.92,341.38,293.78,0.0486,APO
2020 FD,       (2020 FD),Y,N,27.67,,,0.4865,1.214,0.624,1.17,357.67,278.24,8.87e-05,APO
2020 FE,       (2020 FE),Y,N,22.40,,,0.7390,2.175,0.568,0.42,146.04,133.15,0.00482,APO
2020 FF,       (2020 FF),Y,N,26.80,,,0.4176,1.773,1.032,2.56,356.77,194.52,0.035,AMO
2020 FG,       (2020 FG),Y,N,27.90,,,0.6486,2.374,0.834,1.82,182.86,50.03,0.00221,APO
2020 FH,       (2020 FH),Y,N,26.10,,,0.4987,2.002,1.004,11.38,356.10,190.73,0.014,APO
2020 FK,       (2020 FK),Y,N,28.30,,,0.3827,1.377,0.850,4.16,354.20,249.17,0.00892,APO
2020 FL,       (2020 FL),Y,N,24.81,,,0.3968,0.8712,0.526,5.90,358.02,309.84,0.00257,ATE
2020 FM,       (2020 FM),Y,N,24.10,,,0.3125,0.9922,0.682,21.61,173.03,246.29,0.0228,ATE
2020 FN,       (2020 FN),Y,N,27.60,,,0.5263,2.114,1.001,1.55,353.64,188.57,0.00633,APO
2020 FO,       (2020 FO),Y,N,25.90,,,0.4576,1.161,0.630,29.94,356.29,75.58,0.0293,APO
2020 FP,       (2020 FP),Y,N,25.99,,,0.5469,2.175,0.985,2.94,169.50,44.41,0.0224,APO
2020 FQ,       (2020 FQ),Y,N,27.31,,,0.2529,1.307,0.976,9.41,176.00,318.27,0.0278,APO
2020 FR,       (2020 FR),Y,N,26.10,,,0.7222,2.431,0.675,9.44,177.37,278.84,0.0132,APO
2020 FS,       (2020 FS),Y,N,27.80,,,0.3262,1.507,1.016,0.92,336.21,207.79,0.0201,APO
2020 FT,       (2020 FT),Y,N,24.30,,,0.7537,1.959,0.483,1.60,34.45,37.36,0.0183,APO
2020 FU,       (2020 FU),Y,N,26.40,,,0.1785,1.21,0.994,28.88,356.75,143.15,0.0299,APO
2020 FV,       (2020 FV),Y,N,24.90,,,0.1563,1.107,0.934,35.79,175.79,278.24,0.0597,APO
2020 FW,       (2020 FW),Y,N,26.70,,,0.5240,2.064,0.983,9.91,176.14,27.15,0.0188,APO
2020 FX,       (2020 FX),Y,N,24.61,,,0.1734,1.321,1.092,18.36,357.93,191.83,0.099,AMO
2020 FY,       (2020 FY),Y,N,23.40,,,0.2103,1.41,1.113,19.41,169.97,311.32,0.178,AMO
2020 FZ,       (2020 FZ),Y,N,25.30,,,0.6310,2.967,1.095,3.73,342.77,175.84,0.104,AMO
2020 FA1,       (2020 FA1),Y,N,26.37,,,0.0312,1.027,0.995,3.54,169.09,125.79,0.000835,APO
